City_x,Country,CityCountry,City_y,osm_url,flag,geohash,drives_on,bounds,latitude,longitude
Algiers,Algeria,"Algiers, Algeria","Algiers, Algeria",https://www.openstreetmap.org/?mlat=36.77293&mlon=3.05882#map=17/36.77293/3.05882,🇩🇿,snd1jw73gdhf028fbgtb,right,"{'northeast': {'lat': 36.932925, 'lng': 3.218819}, 'southwest': {'lat': 36.612925, 'lng': 2.898819}}",36.772925,3.058819
Oran,Algeria,"Oran, Algeria","Oran, Algeria",https://www.openstreetmap.org/?mlat=35.70444&mlon=-0.65030#map=17/35.70444/-0.65030,🇩🇿,eyre15y3qyq9dvtbfzeu,right,"{'northeast': {'lat': 35.7695075, 'lng': -0.5513975}, 'southwest': {'lat': 35.6452843, 'lng': -0.7296348}}",35.7044415,-0.6502981
Benguela,Angola,"Benguela, Angola","Benguela, Angola",https://www.openstreetmap.org/?mlat=-12.57900&mlon=13.40371#map=17/-12.57900/13.40371,🇦🇴,kmc83n03cpecdf5gfqhn,right,"{'northeast': {'lat': -12.4190048, 'lng': 13.5637117}, 'southwest': {'lat': -12.7390048, 'lng': 13.2437117}}",-12.5790048,13.4037117
Cabinda,Angola,"Cabinda, Angola","Cabinda, Angola",https://www.openstreetmap.org/?mlat=-5.05640&mlon=12.32117#map=17/-5.05640/12.32117,🇦🇴,kr0g0rs025tuuwnn0m87,right,"{'northeast': {'lat': -4.3458006, 'lng': 13.1107205}, 'southwest': {'lat': -5.8896319, 'lng': 11.8476837}}",-5.056395,12.3211749
Luanda,Angola,"Luanda, Angola","Luanda, Angola",https://www.openstreetmap.org/?mlat=-8.82727&mlon=13.24395#map=16/-8.82727/13.24395,🇦🇴,kq3mv35cqmtgbz7kg54j,right,"{'northeast': {'lat': -8.759227, 'lng': 13.3108619}, 'southwest': {'lat': -8.9208267, 'lng': 13.1732251}}",-8.8272699,13.2439512
Lubango,Angola,"Lubango, Angola","Lubango, Angola",https://www.openstreetmap.org/?mlat=-14.91956&mlon=13.48975#map=17/-14.91956/13.48975,🇦🇴,km3e4gyzmbp7f4hspcd0,right,"{'northeast': {'lat': -14.3277132, 'lng': 14.3556651}, 'southwest': {'lat': -15.126628, 'lng': 13.3583382}}",-14.9195617,13.4897509
Buenos Aires,Argentina,"Buenos Aires, Argentina","Buenos Aires, Argentina",https://www.openstreetmap.org/?mlat=-34.60734&mlon=-58.44329#map=17/-34.60734/-58.44329,🇦🇷,69y7n5fvsu2p2wk3z65r,right,"{'northeast': {'lat': -34.5265535, 'lng': -58.3351423}, 'southwest': {'lat': -34.705637, 'lng': -58.5314494}}",-34.6073387,-58.4432852
La Plata,Argentina,"La Plata, Argentina","La Plata, Argentina",https://www.openstreetmap.org/?mlat=-34.92068&mlon=-57.95376#map=17/-34.92068/-57.95376,🇦🇷,69yc34zk73mxs4qvmhpy,right,"{'northeast': {'lat': -34.8875541, 'lng': -57.9131672}, 'southwest': {'lat': -34.9539303, 'lng': -57.9940921}}",-34.9206797,-57.9537638
Mar del Plata,Argentina,"Mar del Plata, Argentina","Mar del Plata, Argentina",https://www.openstreetmap.org/?mlat=-37.99772&mlon=-57.54827#map=17/-37.99772/-57.54827,🇦🇷,69ppf6wxhp5s21b0bv0n,right,"{'northeast': {'lat': -37.9039649, 'lng': -57.5177864}, 'southwest': {'lat': -38.1337395, 'lng': -57.6591066}}",-37.9977225,-57.5482703
Rosario,Argentina,"Rosario, Argentina","Rosario, Argentina",https://www.openstreetmap.org/?mlat=-32.95936&mlon=-60.66170#map=17/-32.95936/-60.66170,🇦🇷,6dhu7xgmzcu3bqhg7qux,right,"{'northeast': {'lat': -32.8696461, 'lng': -60.6116695}, 'southwest': {'lat': -33.0348662, 'lng': -60.7832623}}",-32.9593609,-60.6617024
Salta,Argentina,"Salta, Argentina","Salta, Argentina",https://www.openstreetmap.org/?mlat=-25.10767&mlon=-64.34950#map=17/-25.10767/-64.34950,🇦🇷,6ed1ptq1hp1cbn33t4gs,right,"{'northeast': {'lat': -21.9987679, 'lng': -62.3392282}, 'southwest': {'lat': -26.4167008, 'lng': -68.5678906}}",-25.1076701,-64.3494964
